,0
担当プロジェクト数_acceleration_exp,0.19133787799888252
残業時間_kurtosis,0.18965819817242402
月例給与_円_late_mean,0.1896514603591805
360度評価_共有貢献度_std,0.1877833705840886
360度評価_主体度_acceleration_exp,0.1830488442372025
360度評価_主体度_q2_mean_exp,0.18213865453819433
担当プロジェクト数_min,0.1817070324844918
360度評価_学習度_slope,0.18143300191153872
月例給与_円_median,0.180538914500167
360度評価_親和度_kurtosis,0.17871137473979312
360度評価_学習度_cv,0.17720636749649157
360度評価_親和度_slope,0.17592172321602323
上司からのフィードバック_tfidf_svd_2,0.17180819139637063
月例給与_円_q3_mean_exp,0.17172537709887956
月例給与_円_early_mean,0.17097357382323333
残業時間_acceleration_exp,0.16890254690426562
上司からのフィードバック_tfidf_svd_3,0.16871172930791528
上司との面談実施回数_mean,0.16748258707972935
360度評価_共有貢献度_mid_mean,0.1673673251110861
同僚からのフィードバック_tfidf_svd_6,0.1671194487179617
担当プロジェクト数_mean,0.1662490050613746
顧客満足度評価_std,0.16530515076731603
残業時間_diff,0.16478173258536477
360度評価者数_std,0.16435872719394037
360度評価_学習度_diff,0.16411211626948793
情報共有件数_cv,0.16365475177924782
顧客満足度評価_q1_mean_exp,0.1601000027926559
月例給与_円_ratio,0.15983189555321367
顧客満足度評価_ratio,0.1597151356014218
月例給与_円_max,0.15873569037479604
360度評価_親和度_skew,0.15723131980599442
360度評価者数_mean,0.15709821237291116
在宅勤務日数_late_early_ratio,0.15659830424181317
360度評価_主体度_q3_mean_exp,0.15566512067087734
同僚からのフィードバック_len,0.15222132139460817
研修時間_区分比,0.1516701949758071
360度評価_信頼度_acceleration_exp,0.15028357426794361
残業時間_volatility,0.14906159855435946
上司からのフィードバック_tfidf_svd_10,0.14872897166635907
上司からのフィードバック_tfidf_svd_12,0.14782487173123485
入社時メモ_tfidf_svd_2,0.14739473114987767
360度評価_共有貢献度_q4_mean_exp,0.1469398887580623
360度評価_親和度_q75,0.14602602737702858
360度評価_親和度_q2_mean_exp,0.14341121977259436
360度評価_学習度_acceleration_exp,0.1432548917785326
担当プロジェクト数_late_minus_early,0.14275699425270114
月例給与_円_mid_mean,0.14172872904781988
上司との面談実施回数_slope,0.138871048037773
情報共有件数_late_early_ratio,0.13738935982142006
上司からのフィードバック_tfidf_svd_9,0.13654205696791755
360度評価_学習度_q3_mean_exp,0.1355869371235228
前職経験月数,0.13558239626905288
顧客満足度評価_slope,0.1350066639295956
顧客満足度評価_q2_mean_exp,0.13486147595282832
研修時間_late_minus_early,0.13479092989736896
研修時間_early_mean,0.13274002459720627
入社時メモ_tfidf_svd_12,0.13269265529745614
360度評価者数_cv,0.13186170013204068
入社時メモ_tfidf_svd_11,0.13000670058014746
360度評価_主体度_late_mean,0.12948176406386347
入社時年齢,0.12829529630720132
360度評価_信頼度_ratio,0.12767177605580537
顧客満足度評価_acceleration_exp,0.1272470915705061
在宅勤務日数_std,0.12686333387546744
残業時間_slope,0.1265853281254872
月例給与_等級内偏差,0.12646238118122616
顧客満足度評価_early_mean,0.12573485478830415
担当プロジェクト数_late_mean,0.12546373255968785
初任給_区分内偏差,0.12478367874459674
360度評価_主体度_ratio,0.12425675285527296
有給取得日数_q4_mean_exp,0.12279102319524907
担当プロジェクト数_mid_mean,0.12235613875748456
360度評価_主体度_mean,0.12151325374392777
360度評価者数_mid_mean,0.1207466064442168
360度評価_学習度_mean,0.11973908606014043
顧客満足度評価_q3_mean_exp,0.11950355146744415
上司からのフィードバック_tfidf_svd_13,0.11848934356785132
初任給_等級内偏差,0.11837993299154645
360度評価_学習度_median,0.1182124998632219
研修時間_std,0.11814007044471098
入社時メモ_tfidf_svd_0,0.11529229197294714
顧客満足度評価_diff,0.11452281391395178
有給取得日数_q3_mean_exp,0.11433891721602112
情報共有件数_slope,0.11402628657398271
月例給与_円_q1_mean_exp,0.11291397511587087
360度評価_信頼度_mean,0.11287612788551885
顧客満足度評価_max,0.11230407878321279
情報共有件数_q4_mean_exp,0.11032617332138288
360度評価_共有貢献度_mean,0.10990158879951349
360度評価者数_q2_mean_exp,0.10884058879401101
在宅勤務日数_q2_mean_exp,0.1088124381325877
360度評価_信頼度_diff,0.10832273416416337
在宅勤務日数_slope,0.10808143591990557
360度評価者数_q4_mean_exp,0.10797649048128394
有給取得日数_slope,0.10662443112266505
残業時間_late_early_ratio,0.10659041760548481
360度評価_親和度_min,0.10644843527495695
顧客満足度評価_late_mean,0.10533997573242566
360度評価_親和度_q4_mean_exp,0.1050267960579995
担当プロジェクト数_q3_mean_exp,0.1038436155457923
担当プロジェクト数_q4_mean_exp,0.1027468671760281
研修時間_職種比,0.10128845735989774
月例給与_円_mean,0.10120212056500265
担当プロジェクト数_early_mean,0.10095481912331326
上司との面談実施回数_mid_mean,0.10091120736107573
360度評価_主体度_mid_mean,0.10024371054314077
情報共有件数_std,0.09851559500464338
在宅勤務日数_ratio,0.09842734728618499
360度評価_主体度_diff,0.09701210098048435
担当プロジェクト数_late_early_ratio,0.09651433487376262
360度評価者数_slope,0.09641796042423233
360度評価_主体度_min,0.09612303335879394
顧客満足度評価_min,0.09597387640908386
360度評価_共有貢献度_cv,0.09580137973740448
360度評価_共有貢献度_diff,0.09516646815954213
上司との面談実施回数_cv,0.09491029631972016
360度評価者数_late_mean,0.09314140160587202
360度評価_親和度_q3_mean_exp,0.09177055109808915
360度評価_共有貢献度_max,0.09169643215697564
年齢_x_前職経験,0.09097422340630153
360度評価_親和度_late_mean,0.09088486619704801
在宅勤務日数_acceleration_exp,0.09020763624098548
在宅勤務日数_mid_mean,0.08972327820830377
研修時間_ratio,0.08938940041882062
月例給与_円_min,0.0891422327554922
360度評価_共有貢献度_q3_mean_exp,0.0888675835847533
情報共有件数_max,0.08878273195109355
360度評価_共有貢献度_ratio,0.08841343140194544
360度評価_共有貢献度_q1_mean_exp,0.08788903269026871
顧客満足度評価_missing_rate,0.08771764735593623
360度評価_信頼度_q2_mean_exp,0.08672924673516152
360度評価_学習度_max,0.08613416367330615
月例給与_円_q4_mean_exp,0.08603181765103635
360度評価_信頼度_q1_mean_exp,0.08601124818015174
在宅勤務日数_late_minus_early,0.08566133397053209
月例給与_円_cv,0.0851354929276084
360度評価_親和度_ratio,0.08466153376972896
360度評価_親和度_mean_job_deviation,0.0839054282300497
研修時間_iqr,0.0838886350108155
月例給与_円_late_early_ratio,0.08223121528731689
有給取得率,0.08207829240676788
研修時間_kurtosis,0.08188908329965762
