構成,列数,CatBoost,tabdpt,bl_tabdpt,tabdpt_秒,tabdpt_seedMAD,tabicl,bl_tabicl,tabicl_秒,tabicl_seedMAD,tabpfn,bl_tabpfn,tabpfn_秒,tabpfn_seedMAD
cb_top50,50,0.5153875934227753,0.5642433507913227,0.5245451380948014,10.3,0.0408,0.543873730633705,0.5179327332901846,110.3,0.0207,0.507722153754987,0.5066988297181838,272.1,0.0207
cb_top100,100,0.5086280512936222,0.5448168984471831,0.520406230523744,10.2,0.045,0.5413078430392932,0.5188725594843924,185.3,0.0143,0.4941395605107078,0.5049751198008661,544.4,0.0208
cb_top150,150,0.5086018769803189,0.5477783909502437,0.5192211303696661,10.2,0.096,0.542664535276355,0.5195241320799276,266.1,0.0143,0.5030603774048807,0.5084856851296904,865.8,0.0223
cb_top200,200,0.5119699766512625,0.5465373614087019,0.5186150125026635,10.5,0.0841,0.5418111017173146,0.5196519812128368,344.0,0.0151,0.5126830290062246,0.5114536909788093,1161.0,0.0225
mi_top150,150,0.5021252539198181,0.5675024145155967,0.5247954332418558,10.6,0.0766,0.5368603377974935,0.5181721547843139,261.1,0.0105,0.5096440672429163,0.5099532795758337,868.5,0.0278
decorr150,150,0.5107329368584601,0.5553056997080699,0.5217742841198697,10.4,0.0777,0.5415266456284531,0.5193728016968641,267.3,0.0122,0.506248315009373,0.509186149571239,875.0,0.0204
hire_fixed,78,0.5106329159079047,0.5733245789378151,0.5253823156956422,10.5,0.0346,0.5134603665890691,0.5073026158553824,154.1,0.0215,0.48378259200097484,0.4978727747725755,420.6,0.0151
full441,441,0.5155234385844664,0.5789649744568891,0.5274852136059548,10.3,0.0846,0.5408770585520254,0.5195158314238675,716.9,0.0129,0.5233116709374097,0.5141181640782099,2645.3,0.0189
