config,n_features,oof_surv,oof_all,対baseline,Test_MAD
baseline,444,0.5138624219721779,0.4950806951146861,0.0,0.0
+TR,458,0.5132271724278521,0.4941284134724301,-0.000635249544325811,0.023193572116587683
+ZS,450,0.5151362176985962,0.49626358878342974,0.0012737957264182809,0.022357726161972773
+BO,447,0.5137817517561794,0.49498128490258786,-8.067021599855728e-05,0.021935866849651674
+SL,450,0.5065333147342993,0.4880626573388179,-0.007329107237878607,0.03760784999693988
+GA,452,0.5147458041397417,0.49605839333515367,0.0008833821675637843,0.023581157889731964
+KW,453,0.5148888242412089,0.49619016508565505,0.001026402269030946,0.022738402294252953
+BE,489,0.5149193160646953,0.4962309233583923,0.001056894092517413,0.0315067595205707
