config,列数,除外列,val(生存者),X0との差,X0との相関,平均絶対差,予測平均,ファイル,提出
X0_ref,113,,0.5146424190199853,0.0,1.0,0.0,0.587364248310316,20260812_41_hire_year_extrapolation_X0_ref.csv,不要（提出済み・参照用）
X1_no_hireyear,112,入社年,0.5169687813821592,0.0023263623621738727,0.997292186111224,0.014378092669569202,0.5879366234465593,20260812_41_hire_year_extrapolation_X1_no_hireyear.csv,提出する
X2_no_all_hiretime,110,"入社年,入社月,入社四半期",0.5130760840844988,-0.0015663349354865241,0.997450840033198,0.014023362030628277,0.5876719832430862,20260812_41_hire_year_extrapolation_X2_no_all_hiretime.csv,提出する
