config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline,439,0.5542195020390243,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_baseline_valpreds.npy
split_80_20_L_v1_original,441,0.5093995319543404,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_L_v1_original.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_L_v1_original_valpreds.npy
split_80_20_L_v2_extended,441,0.5030654362829167,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_L_v2_extended.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_80_20_L_v2_extended_valpreds.npy
split_75_25_baseline,439,0.553841865728593,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_baseline_valpreds.npy
split_75_25_L_v1_original,441,0.5211172637041962,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_L_v1_original.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_L_v1_original_valpreds.npy
split_75_25_L_v2_extended,441,0.510125429481482,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_L_v2_extended.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_28_relocation_mismatch_extended_extraction_split_75_25_L_v2_extended_valpreds.npy
