config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline,439,0.5542195020390243,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_baseline_valpreds.npy
split_80_20_L_reloc_mismatch,441,0.5093995319543404,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_L_reloc_mismatch.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_L_reloc_mismatch_valpreds.npy
split_80_20_J_location_match,440,0.5311378689523814,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_J_location_match.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_J_location_match_valpreds.npy
split_80_20_combo_JL,442,0.5073387493396466,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_combo_JL.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_80_20_combo_JL_valpreds.npy
split_75_25_baseline,439,0.553841865728593,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_baseline_valpreds.npy
split_75_25_L_reloc_mismatch,441,0.5211172637041962,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_L_reloc_mismatch.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_L_reloc_mismatch_valpreds.npy
split_75_25_J_location_match,440,0.5378796125851164,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_J_location_match.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_J_location_match_valpreds.npy
split_75_25_combo_JL,442,0.522474957604157,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_combo_JL.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_27_relocation_location_mismatch_interaction_split_75_25_combo_JL_valpreds.npy
