config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline_441,441,0.5030654362829167,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_baseline_441.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_baseline_441_valpreds.npy
split_80_20_after_step1,356,0.5008939536607296,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1_valpreds.npy
split_80_20_after_step1_2,355,0.4980868215621727,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1_2.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1_2_valpreds.npy
split_80_20_after_step1_2_3,15,0.501787650179994,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1_2_3.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_80_20_after_step1_2_3_valpreds.npy
split_75_25_baseline_441,441,0.510125429481482,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_baseline_441.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_baseline_441_valpreds.npy
split_75_25_after_step1,356,0.5098212597661776,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1_valpreds.npy
split_75_25_after_step1_2,355,0.5155577709896982,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1_2.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1_2_valpreds.npy
split_75_25_after_step1_2_3,15,0.5162255040264653,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1_2_3.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260811/20260811_33_feature_selection_pipeline_split_75_25_after_step1_2_3_valpreds.npy
