config,列数,学習件数,val(生存者),R0との差,R0との相関,平均絶対差,予測平均,ファイル,提出
R0_ref,441,2761,0.5156513245624704,0.0,1.0,0.0,0.5874911913463889,20260811_40_feature_reduction_R0_ref.csv,不要（提出済み・参照用）
R1_no_tfidf,396,2761,0.5216780935739886,0.006026769011518218,0.9735082154226866,0.044418852525794,0.5879012179355733,20260811_40_feature_reduction_R1_no_tfidf.csv,提出する
R3_mid,370,2761,0.5243038991152742,0.008652574552803771,0.9714735166865803,0.046371650861161066,0.5882835847344245,20260811_40_feature_reduction_R3_mid.csv,提出する
R5_agg_slim,252,2761,0.5189519069448916,0.0033005823824211467,0.9678200876101427,0.04946663703639243,0.5875253308119148,20260811_40_feature_reduction_R5_agg_slim.csv,提出する
R2_core,257,2761,0.5193791333007418,0.0037278087382713876,0.965917394839452,0.05133958988107695,0.5876063244129945,20260811_40_feature_reduction_R2_core.csv,提出する
R6_lean,113,2761,0.5146424190199853,-0.0010089055424851168,0.9544207437035864,0.06003967980988313,0.587364248310316,20260811_40_feature_reduction_R6_lean.csv,提出する
P1_drop_early,441,2632,0.5223339785274002,0.00668265396492973,0.99153030415741,0.024625862577956757,0.5968407307110086,20260811_40_feature_reduction_P1_drop_early.csv,提出する
